YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,SkyCondition,DryBulbCelsius,Visibility,WindSpeed,WindDirection,StationPressure
2016,3,12,6,NK,171,12953,11697,1525,0,0,1836,-31,0,0,SCT060,12.8,10,6,160,29.96
2016,3,13,7,NK,171,12953,11697,1525,3,0,1836,-6,0,0,FEW120,16.1,10,0,0,29.9
2016,3,14,1,NK,171,12953,11697,1525,18,1,1836,5,0,0,OVC009,4.4,5,21,70,29.87
2016,3,15,2,NK,171,12953,11697,1525,32,1,1836,32,1,0,SCT028,12.2,10,3,VR ,29.62
2016,3,16,3,NK,171,12953,11697,1525,7,0,1836,-15,0,0,CLR,15,10,5,VR ,29.6
2016,3,17,4,NK,171,12953,11697,1525,2,0,1836,23,1,0,SCT065 SCT080,15,10,3,VR ,29.61
2016,3,18,5,NK,171,12953,11697,1525,0,0,1836,69,1,0,SCT055 BKN070 OVC100,11.7,10,10,300,29.67
2016,3,19,6,NK,171,12953,11697,1525,45,1,1836,47,1,0,OVC110,7.2,10,0,0,29.92
2016,3,20,7,NK,171,12953,11697,1525,5,0,1836,11,0,0,BKN100 BKN110,3.9,10,10,80,29.87
2016,3,21,1,NK,171,12953,11697,1525,0,0,1836,-8,0,0,FEW075,8.3,10,16,310,29.64
2016,3,22,2,NK,171,12953,11697,1525,0,0,1836,-9,0,0,CLR,12.8,10,9,250,29.89
2016,3,23,3,NK,171,12953,11697,1525,1,0,1836,4,0,0,CLR,21.7,10,7,280,29.78
2016,3,24,4,NK,171,12953,11697,1525,0,0,1836,13,0,0,OVC022,10,10,5,VR ,29.83
2016,3,25,5,NK,171,12953,11697,1525,0,0,1836,7,0,0,BKN049 OVC095,21.7,10,5,280,29.58
2016,3,26,6,NK,171,12953,11697,1525,0,0,1836,17,1,0,OVC034,9.4,10,5,200,30.18
2016,3,27,7,NK,171,12953,11697,1530,4,0,1841,5,0,0,CLR,8.9,10,6,VR ,30.13
2016,3,28,1,NK,171,12953,11697,1530,29,1,1841,32,1,0,BKN048 BKN065,15.6,10,M,M,29.36
2016,3,29,2,NK,171,12953,11697,1530,1,0,1841,17,1,0,CLR,11.1,10,9,320,29.84
2016,3,30,3,NK,171,12953,11697,1530,42,1,1841,27,1,0,CLR,8.9,10,10,170,30.09
2016,3,31,4,NK,171,12953,11697,1530,0,0,1841,-16,0,0,SCT060,20,10,6,VR ,29.71
2016,3,1,2,NK,174,11697,12953,1611,23,1,1904,14,0,0,FEW035 FEW120 BKN250,24.4,10,13,120,30.05
2016,3,2,3,NK,174,11697,12953,1609,59,1,1900,70,1,0,FEW040 FEW150 SCT250,27.2,10,6,VR ,30.01
2016,3,3,4,NK,174,11697,12953,1609,16,1,1900,52,1,0,FEW040 OVC250,25,10,10,170,29.99
2016,3,4,5,NK,174,11697,12953,1609,40,1,1900,64,1,0,FEW045 SCT070 OVC250,27.2,10,8,280,29.93
2016,3,5,6,NK,174,11697,12953,1609,0,0,1900,7,0,0,BKN027 BKN140 OVC250,23.3,10,14,90,30.01
2016,3,6,7,NK,174,11697,12953,1609,5,0,1900,12,0,0,FEW035 FEW250,22.8,10,16,30,30.08
2016,3,7,1,NK,174,11697,12953,1609,0,0,1900,15,1,0,OVC047,22.2,10,20,80,30.18
2016,3,8,2,NK,174,11697,12953,1609,0,0,1900,-10,0,0,FEW043 OVC050,23.9,10,15,100,30.17
2016,3,9,3,NK,174,11697,12953,1609,16,1,1900,60,1,0,FEW035 BKN050,24.4,10,17,110,30.17
2016,3,10,4,NK,174,11697,12953,1609,1,0,1900,-13,0,0,CLR,25.6,10,17,130,30.16
2016,3,11,5,NK,174,11697,12953,1609,32,1,1900,17,1,0,FEW023 FEW045 BKN250,25,10,13,120,30.14
2016,3,12,6,NK,174,11697,12953,1609,0,0,1900,-16,0,0,FEW027 FEW180 OVC250,25.6,10,11,150,30.07
2016,3,13,7,NK,174,11697,12953,1609,0,0,1900,16,1,0,FEW025 SCT060 BKN080,25.6,10,9,210,29.99
2016,3,14,1,NK,174,11697,12953,1609,90,1,1900,97,1,0,BKN047 BKN090,26.7,10,14,160,29.96
2016,3,15,2,NK,174,11697,12953,1609,14,0,1900,31,1,0,FEW055,30,10,7,300,29.95
2016,3,16,3,NK,174,11697,12953,1609,23,1,1900,29,1,0,FEW025 FEW250,25,10,9,110,30
2016,3,17,4,NK,174,11697,12953,1609,180,1,1900,182,1,0,FEW035 SCT070 BKN250,25.6,10,10,160,29.93
2016,3,18,5,NK,174,11697,12953,1609,27,1,1900,43,1,0,BKN060 BKN250,28.3,10,11,250,29.88
2016,3,19,6,NK,174,11697,12953,1609,31,1,1900,67,1,0,FEW030 SCT041 SCT070,28.9,10,17,260,29.83
2016,3,20,7,NK,174,11697,12953,1609,17,1,1900,0,0,0,FEW040 SCT110 BKN140,26.1,10,11,230,29.85
2016,3,21,1,NK,174,11697,12953,1609,92,1,1900,110,1,0,FEW035 SCT150 BKN250,17.8,10,7,340,30.13
2016,3,22,2,NK,174,11697,12953,1609,0,0,1900,-2,0,0,FEW041 BKN050 OVC250,21.7,10,11,70,30.23
